,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,14,2,0.749999953,0.041666667,11.64516129,0.346260388,4.796568671,11.64516129,125,334,2.3115727,2,6.868263473,
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,65,32,0.340206182,0.086298932,12.79761905,0.40372093,5.280535991,12.79761905,434,996,2.624203822,4,7.3062249,
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,46,25,0.295774644,0.07537155,14.39344262,0.505694761,5.959654954,14.39344262,444,819,2.937662338,14,7.998778999,
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,46,76,-0.245901637,0.130760986,15.55357143,0.473019518,6.410636379,15.55357143,412,817,2.639549437,5,7.779681763,
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,28,9,0.5135135,0.059677419,13.46666667,0.394389439,5.544422442,13.46666667,239,564,2.481884058,7,7.326241135,
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,95,28,0.544715443,0.083108108,14.64210526,0.454349389,6.038581861,14.64210526,632,1301,2.788604459,7,7.772482706,
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,32,44,-0.157894735,0.099087353,12,0.39021164,4.956084656,12,295,695,2.388405797,2,7.10647482,
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,38,10,0.583333321,0.061935484,13.55769231,0.514893617,5.62903437,13.55769231,363,655,2.86645469,4,7.935877863,
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,46,51,-0.051546391,0.105895196,13.70967742,0.497647059,5.682929791,13.70967742,423,790,2.705729167,3,7.825316456,
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,68,69,-0.00729927,0.129123468,11.83908046,0.498058252,4.934855485,11.83908046,513,948,2.68558952,9,7.674050633,
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,68,20,0.545454539,0.078923767,14.76388889,0.489181562,6.10122818,14.76388889,520,993,2.758985201,3,7.682779456,
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,87,25,0.553571424,0.093333333,13.74157303,0.459525756,5.680439516,13.74157303,562,1141,2.688277087,3,7.454864154,
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,46,14,0.533333324,0.118577075,17.48275862,0.50295858,7.19428688,17.48275862,255,480,2.701075269,4,7.614583333,
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,29,28,0.017543859,0.067938021,10.82051282,0.383886256,4.481759631,10.82051282,324,778,2.42781457,4,7.098971722,
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,42,28,0.199999997,0.074074074,15.20634921,0.410229645,6.246631541,15.20634921,393,902,2.490825688,7,7.218403548,
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,42,28,0.199999997,0.074074074,15.20634921,0.410229645,6.246631541,15.20634921,393,902,2.490825688,7,7.218403548,
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,50,13,0.587301578,0.071590909,12.62318841,0.42250287,5.21827651,12.62318841,368,807,2.523447402,6,7.266418835,
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,40,11,0.56862744,0.058823529,15.37037037,0.445783133,6.326461401,15.37037037,370,783,2.59205298,2,7.431673052,
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,67,7,0.8108108,0.061976549,11.88,0.415824916,4.918329966,11.88,494,1094,2.453627181,5,7.281535649,
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,15,1,0.874999945,0.03712297,15.20689655,0.333333333,6.216091954,15.20689655,147,416,2.318181818,2,7.03125,
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,30,48,-0.230769228,0.094316808,14.70909091,0.446229913,6.062128329,14.70909091,361,760,2.594046008,7,7.415789474,
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,20,11,0.290322571,0.078282828,11.78787879,0.380462725,4.867336605,11.78787879,148,359,2.487534626,5,7.259052925,
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,38,16,0.4074074,0.054766734,14.38235294,0.337423313,5.887910502,14.38235294,330,919,2.392533937,8,6.885745375,
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,31,4,0.771428549,0.065420561,17.89285714,0.425149701,7.327202737,17.89285714,213,480,2.479481641,2,7.133333333,
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,27,12,0.384615375,0.049618321,17.56818182,0.304010349,7.148876867,17.56818182,235,747,2.224860335,5,6.504685408,
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,31,15,0.347826079,0.059431524,13.62962963,0.385869565,5.606199678,13.62962963,284,692,2.397014925,2,6.945086705,
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,34,27,0.114754096,0.069004525,15.26666667,0.319868996,6.234614265,15.26666667,293,864,2.240920097,19,6.47337963,
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,41,27,0.20588235,0.079625293,16.15686275,0.404126214,6.624395583,16.15686275,333,784,2.448412698,8,7.229591837,
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,73,35,0.351851849,0.077641984,16.80246914,0.42101396,6.889393238,16.80246914,573,1287,2.584703947,2,7.277389277,
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,68,39,0.271028035,0.108299595,13.28378378,0.334689725,5.447389404,13.28378378,329,915,2.350114416,7,6.667759563,
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,73,39,0.303571426,0.09076175,13.78651685,0.43602282,5.68901587,13.78651685,535,1143,2.672237697,3,7.294838145,
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,71,28,0.43434343,0.095375722,12.77011494,0.317731773,5.235138686,12.77011494,353,1030,2.217601547,18,6.547572816,
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,66,23,0.483146062,0.076329331,13.88235294,0.356779661,5.695653041,13.88235294,421,1121,2.386766076,12,6.884924175,
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,52,24,0.368421048,0.085393258,14.84745763,0.352739726,6.080078941,14.84745763,309,824,2.348427673,17,6.877427184,
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,35,13,0.458333324,0.073846154,12.52,0.388178914,5.163271565,12.52,243,582,2.413479053,8,6.735395189,
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,45,14,0.52542372,0.102253033,14.525,0.344234079,5.947693632,14.525,200,544,2.311068702,1,6.696691176,
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,75,42,0.28205128,0.084293948,15.88888889,0.375524476,6.505765346,15.88888889,537,1352,2.380045697,9,6.759615385,
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,53,63,-0.086206896,0.081920904,12.93269231,0.359107807,5.316720046,12.93269231,483,1255,2.363041701,2,6.819920319,
39,blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,45,23,0.323529407,0.077097506,14.98305085,0.438914027,6.16878595,14.98305085,388,828,2.557881773,9,7.361111111,
40,blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,39,29,0.147058821,0.070907195,12.54545455,0.345755694,5.156484096,12.54545455,334,896,2.246899662,7,6.619419643,
41,blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,70,25,0.473684206,0.098039216,13.125,0.373333333,5.399333333,13.125,392,988,2.464940669,32,6.808704453,
42,blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,74,23,0.52577319,0.087308731,13.12941176,0.36827957,5.399076534,13.12941176,411,1038,2.383928571,10,6.859344894,
43,blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,34,1,0.942857116,0.06916996,18.34615385,0.465408805,7.52462506,18.34615385,222,454,2.684331797,1,7.356828194,
44,blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,86,40,0.365079362,0.127659574,92.83333333,0.355475763,37.27552364,92.83333333,396,1104,2.354932302,15,6.591485507,
45,blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,28,1,0.931034451,0.045886076,12.63265306,0.42003231,5.221074149,12.63265306,260,573,2.398601399,1,7.013961606,
46,blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,22,7,0.517241361,0.045886076,13.33333333,0.453333333,5.514666667,13.33333333,272,560,2.664794007,1,7.516071429,
47,blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,8,4,0.333333306,0.043321299,24,0.454545455,9.781818182,24,120,255,2.693277311,3,7.352941176,
49,blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,32,69,-0.36633663,0.101202405,15.79032258,0.372829418,6.465260799,15.79032258,365,923,2.54556213,3,6.931744312,
